Ss,Si,Snh,Spo4,Shco,Xi,Xs,Xh,Xtss,Fr,So_e,Ss_e,Si_e,Snh_e,Sno_e,Sn_e,Spo4_e,Shco_e,Xi_e,Xs_e,Xh_e,Xsto_e,Xpaoi_e,Xpp_e,Xpha_e,Xa_e,Xtss_e,Fr_e
74.540141,30,33.34657861,7.502980188,7,45.476,203.928,27.712,211.9938,18547,1.739516509,0.337431,30,7.680288209,9.565940344,27.0439255,8.870902584,4.061444202,1522.079866,58.08930743,1114.542634,16.43045533,835.5019369,119.1424148,59.51927628,123.4532397,3481.685044,71489.95392
76.29726,30,34.2772446,7.712380035,7,45.367,202.095,27.496,210.3429,18666,1.736917918,0.332891172,30,7.34507736,9.571431887,27.17088814,8.537188258,4.055129072,1528.198217,57.54550402,1119.507469,16.36392785,838.9946721,119.6689238,60.0808007,123.9661725,3495.937062,71610.72879
78.609804,30,35.25937484,7.933359339,7,45.055,200.656,27.301,208.85415,18670,1.735235969,0.328215526,30,7.045606013,9.572875424,27.29272413,8.217665712,4.049588859,1533.931969,56.9578249,1124.189354,16.28125085,842.2966737,120.1761728,60.60683875,124.4495919,3509.321654,71615.93181
82.225052,30,36.37702892,8.184831507,7,44.733,199.403,27.126,207.5154,18654,1.73473109,0.323472578,30,6.776936556,9.573374461,27.40692627,7.909250337,4.044574267,1539.185839,56.33528604,1128.513223,16.18152522,845.3510276,120.6604544,61.07971557,124.8956419,3521.625146,71600.06117
81.083925,30,38.17713925,8.589856332,7,56.415,199.337,28.417,217.3893,23137,1.730619059,0.319342976,30,6.588368909,9.520775255,27.50895968,7.653947398,4.047150633,1544.028183,55.79593416,1132.53623,16.10268991,848.1692836,121.0810443,61.61174462,125.3020544,3533.005744,76039.98519
80.881957,30,38.14727397,8.583136644,7,56.515,205.917,29.159,223.0671,22509,1.72457149,0.315834784,30,6.472397336,9.425991765,27.59395508,7.447100778,4.056151928,1548.366256,55.34295674,1136.186783,16.04319237,850.6973369,121.4371366,62.1795546,125.6623879,3543.259799,75460.9503
80.619396,30,35.70893716,8.034510861,7,56.336,210.193,29.614,226.54935,22031,1.720716815,0.312478552,30,6.370082996,9.356284723,27.65625744,7.240024782,4.06313521,1551.990002,54.8898704,1139.294328,15.9689476,852.8350424,121.7640969,62.64445825,125.9678655,3551.923942,74981.67569
86.335106,30,37.76344626,8.496775409,7,58.428,213.092,30.169,230.7921,22489,1.717299539,0.309646472,30,6.303230194,9.299336498,27.68779263,7.05116362,4.070146939,1554.705053,54.49497341,1141.714239,15.89905304,854.4570335,122.0254994,63.04971997,126.1993708,3558.555685,75430.63553
87.344959,30,37.45402239,8.427155038,7,49.053,215.986,29.449,225.28335,18876,1.718080867,0.307038757,30,6.240330025,9.289654631,27.68934733,6.85528079,4.072635229,1556.154161,54.09781329,1143.172048,15.81292189,855.3693709,122.2170138,63.32141595,126.3311131,3562.326277,71856.67178
89.011195,30,38.19763595,8.594468089,7,53.236,212.866,29.567,226.1868,20674,1.721010412,0.30485726,30,6.198221172,9.308306025,27.6633249,6.668780289,4.072910539,1556.113638,53.7233679,1143.502956,15.72054853,855.4341754,122.3007357,63.49979411,126.3410112,3562.702115,73602.77617
